food_type,vehicle_type,time_of_day,travel_hours,ambient_temp_c,humidity_pct,container_temp_c,quantity,vehicle_compatible,temp_deviation,food_sensitivity,vehicle_efficiency,spoilage_probability,spoiled,risk_level
Eggs,Normal Truck,evening,22.5,23.98,48.58,22.78,516,0,19.28,0.6,0.0,0.9501,1,High
Fruits,Frozen Container,afternoon,3.58,37.49,91.62,-3.18,435,1,10.68,0.4,0.95,0.3503,0,Medium
Fruits,Normal Truck,night,19.13,15.11,41.27,14.35,524,0,6.85,0.4,0.0,0.6556,1,High
Vegetables,Frozen Container,afternoon,4.54,34.7,61.04,0.92,293,1,5.08,0.5,0.95,0.3393,0,Medium
Fish,Normal Truck,evening,21.05,21.76,40.73,20.67,650,0,19.67,0.95,0.0,1.0,1,High
Vegetables,Frozen Container,night,5.42,22.43,41.89,-1.09,255,1,7.09,0.5,0.95,0.3303,0,Medium
Meat,Refrigerated Truck,afternoon,16.56,32.76,50.17,7.05,752,1,7.05,0.9,0.75,0.5187,1,Medium
Vegetables,Refrigerated Truck,evening,27.81,16.33,50.78,3.95,751,1,2.05,0.5,0.75,0.4596,0,Medium
Fruits,Refrigerated Truck,evening,25.2,20.35,55.45,3.66,429,1,3.84,0.4,0.75,0.4648,0,Medium
Milk,Frozen Container,morning,23.62,23.37,40.3,-3.01,188,1,6.01,0.8,0.95,0.586,1,Medium
Fish,Frozen Container,morning,18.97,43.01,75.81,3.63,77,1,2.63,0.95,0.95,0.5359,1,Medium
Eggs,Frozen Container,afternoon,11.11,37.7,75.07,-0.28,596,1,3.78,0.6,0.95,0.467,0,Medium
Fruits,Frozen Container,afternoon,25.77,37.49,52.98,-0.06,447,1,7.56,0.4,0.95,0.4177,0,Medium
Meat,Normal Truck,evening,2.88,24.55,57.29,23.32,145,0,23.32,0.9,0.0,0.8902,1,High
Vegetables,Refrigerated Truck,morning,8.98,29.08,81.56,7.66,85,1,1.66,0.5,0.75,0.4357,0,Medium
Vegetables,Refrigerated Truck,afternoon,24.63,35.1,87.93,3.31,77,1,2.69,0.5,0.75,0.5795,1,Medium
Vegetables,Refrigerated Truck,afternoon,17.1,39.8,89.29,7.44,280,1,1.44,0.5,0.75,0.4944,0,Medium
Milk,Normal Truck,morning,10.53,22.45,69.37,21.32,367,0,18.32,0.8,0.0,0.8457,1,High
Fruits,Normal Truck,evening,9.54,18.66,49.26,17.73,721,0,10.23,0.4,0.0,0.722,1,High
Milk,Refrigerated Truck,morning,9.11,24.67,78.3,3.81,436,1,0.81,0.8,0.75,0.4552,0,Medium
Milk,Normal Truck,evening,19.07,22.54,42.83,21.41,785,0,18.41,0.8,0.0,0.9539,1,High
Meat,Normal Truck,night,14.54,23.29,72.6,22.13,488,0,22.13,0.9,0.0,1.0,1,High
Fish,Frozen Container,morning,22.39,27.93,74.78,-1.01,247,1,2.01,0.95,0.95,0.6437,1,High
Milk,Frozen Container,afternoon,21.48,41.18,57.93,-4.83,981,1,7.83,0.8,0.95,0.6464,1,High
Fish,Frozen Container,evening,11.76,16.44,91.73,-1.13,985,1,2.13,0.95,0.95,0.4996,0,Medium
Eggs,Frozen Container,afternoon,21.48,24.17,49.62,0.55,673,1,2.95,0.6,0.95,0.4824,0,Medium
Vegetables,Normal Truck,afternoon,29.9,44.07,70.71,41.86,209,0,35.86,0.5,0.0,0.9131,1,High
Fish,Frozen Container,night,25.71,27.84,62.25,1.42,722,1,0.42,0.95,0.95,0.6551,1,High
Fish,Normal Truck,night,23.99,25.03,71.94,23.78,161,0,22.78,0.95,0.0,1.0,1,High
Fruits,Refrigerated Truck,night,10.55,22.28,64.66,3.06,730,1,4.44,0.4,0.75,0.3465,0,Medium
Vegetables,Normal Truck,afternoon,11.11,38.16,75.73,36.25,184,0,30.25,0.5,0.0,0.8031,1,High
Vegetables,Frozen Container,evening,19.82,18.76,72.44,-1.07,279,1,7.07,0.5,0.95,0.5664,1,Medium
Dairy,Frozen Container,evening,24.25,22.54,71.73,-3.05,530,1,7.05,0.7,0.95,0.5863,1,Medium
Fish,Normal Truck,night,6.96,29.11,92.47,27.65,422,0,26.65,0.95,0.0,0.989,1,High
Dairy,Frozen Container,night,2.43,28.92,63.55,0.72,230,1,3.28,0.7,0.95,0.3069,0,Medium
Milk,Frozen Container,night,12.44,20.92,86.43,0.7,372,1,2.3,0.8,0.95,0.4658,0,Medium
Meat,Frozen Container,afternoon,12.04,24.86,56.24,3.49,834,1,3.49,0.9,0.95,0.517,1,Medium
Eggs,Normal Truck,afternoon,24.66,39.87,87.69,37.88,574,0,34.38,0.6,0.0,0.9886,1,High
Vegetables,Refrigerated Truck,evening,16.04,26.97,75.75,4.38,561,1,1.62,0.5,0.75,0.4408,0,Medium
Eggs,Frozen Container,afternoon,11.19,22.19,94.0,0.91,199,1,2.59,0.6,0.95,0.4116,0,Medium
Dairy,Normal Truck,night,3.09,19.55,69.54,18.57,662,0,14.57,0.7,0.0,0.8063,1,High
Vegetables,Normal Truck,evening,4.39,15.78,69.22,14.99,96,0,8.99,0.5,0.0,0.6324,1,High
Fish,Frozen Container,night,22.33,29.64,68.4,-4.59,719,1,5.59,0.95,0.95,0.6086,1,High
Meat,Frozen Container,afternoon,2.71,43.99,85.98,1.88,442,1,1.88,0.9,0.95,0.3331,0,Medium
Milk,Refrigerated Truck,afternoon,6.38,24.76,70.21,3.1,609,1,0.1,0.8,0.75,0.4102,0,Medium
Fruits,Frozen Container,night,17.52,24.18,63.08,0.66,125,1,6.84,0.4,0.95,0.4792,0,Medium
Fish,Normal Truck,afternoon,2.4,21.13,42.53,20.08,143,0,19.08,0.95,0.0,0.8588,1,High
Vegetables,Refrigerated Truck,afternoon,15.77,30.78,49.53,5.9,783,1,0.1,0.5,0.75,0.421,0,Medium
Meat,Refrigerated Truck,afternoon,19.78,19.22,60.6,7.6,811,1,7.6,0.9,0.75,0.7842,1,High
Fruits,Frozen Container,afternoon,2.74,33.82,91.71,1.77,713,1,5.73,0.4,0.95,0.3202,0,Medium
Fish,Normal Truck,morning,24.71,40.16,74.43,38.15,626,0,37.15,0.95,0.0,1.0,1,High
Milk,Refrigerated Truck,night,12.79,25.22,58.73,3.69,164,1,0.69,0.8,0.75,0.4407,0,Medium
Vegetables,Refrigerated Truck,morning,11.75,43.29,42.16,6.82,778,1,0.82,0.5,0.75,0.3167,0,Medium
Milk,Frozen Container,morning,22.49,21.45,53.75,-1.59,145,1,4.59,0.8,0.95,0.568,1,Medium
Dairy,Normal Truck,night,14.01,26.26,81.5,24.95,922,0,20.95,0.7,0.0,0.9628,1,High
Vegetables,Normal Truck,afternoon,10.33,20.7,42.94,19.66,494,0,13.66,0.5,0.0,0.6312,1,High
Milk,Frozen Container,night,11.94,29.35,77.22,0.73,613,1,2.27,0.8,0.95,0.4422,0,Medium
Fish,Normal Truck,night,20.83,26.29,83.54,24.97,618,0,23.97,0.95,0.0,1.0,1,High
Eggs,Normal Truck,morning,15.84,19.55,70.22,18.58,182,0,15.08,0.6,0.0,0.8667,1,High
Fish,Refrigerated Truck,evening,6.0,26.42,74.0,7.03,302,1,6.03,0.95,0.75,0.5889,1,Medium
Dairy,Normal Truck,night,4.04,27.33,78.84,25.96,566,0,21.96,0.7,0.0,0.7676,1,High
Fruits,Normal Truck,afternoon,24.76,43.58,94.23,41.4,181,0,33.9,0.4,0.0,0.9674,1,High
Vegetables,Refrigerated Truck,night,4.34,26.66,70.71,3.49,140,1,2.51,0.5,0.75,0.2933,0,Low
Fruits,Normal Truck,afternoon,15.12,19.52,46.53,18.54,878,0,11.04,0.4,0.0,0.6371,1,High
Eggs,Normal Truck,evening,22.89,23.75,92.92,22.56,240,0,19.06,0.6,0.0,0.9658,1,High
Milk,Refrigerated Truck,morning,28.97,18.33,93.34,3.94,878,1,0.94,0.8,0.75,0.6182,1,High
Dairy,Normal Truck,evening,27.74,18.79,78.25,17.86,490,0,13.86,0.7,0.0,1.0,1,High
Dairy,Frozen Container,evening,29.88,25.45,61.13,-4.55,520,1,8.55,0.7,0.95,0.6492,1,High
Vegetables,Refrigerated Truck,night,3.62,20.92,45.87,3.66,422,1,2.34,0.5,0.75,0.2815,0,Low
Meat,Refrigerated Truck,night,4.18,29.62,94.24,2.19,551,1,2.19,0.9,0.75,0.406,0,Medium
Milk,Normal Truck,morning,24.79,36.49,48.94,34.66,607,0,31.66,0.8,0.0,1.0,1,High
Milk,Refrigerated Truck,afternoon,28.12,41.38,42.49,4.47,168,1,1.47,0.8,0.75,0.5066,1,Medium
Dairy,Normal Truck,afternoon,29.64,22.06,72.68,20.96,112,0,16.96,0.7,0.0,1.0,1,High
Milk,Normal Truck,morning,15.12,29.2,55.04,27.74,872,0,24.74,0.8,0.0,0.9376,1,High
Dairy,Normal Truck,morning,29.99,44.91,70.55,42.66,614,0,38.66,0.7,0.0,1.0,1,High
Dairy,Normal Truck,evening,9.69,18.11,88.3,17.2,537,0,13.2,0.7,0.0,0.7503,1,High
Meat,Frozen Container,night,2.62,22.47,66.19,0.2,820,1,0.2,0.9,0.95,0.3778,0,Medium
Fruits,Refrigerated Truck,afternoon,24.17,33.93,66.4,6.53,968,1,0.97,0.4,0.75,0.5196,1,Medium
Fruits,Refrigerated Truck,afternoon,24.54,42.39,73.95,4.1,787,1,3.4,0.4,0.75,0.4422,0,Medium
Fish,Frozen Container,evening,22.34,23.21,64.8,-1.03,384,1,2.03,0.95,0.95,0.6707,1,High
Eggs,Refrigerated Truck,evening,21.53,26.95,65.26,4.95,450,1,1.45,0.6,0.75,0.5015,1,Medium
Meat,Refrigerated Truck,morning,11.73,23.65,71.88,5.22,932,1,5.22,0.9,0.75,0.4878,0,Medium
Eggs,Frozen Container,night,6.25,17.08,75.25,1.97,409,1,1.53,0.6,0.95,0.3845,0,Medium
Fish,Normal Truck,night,6.82,17.88,42.25,16.99,54,0,15.99,0.95,0.0,0.8388,1,High
Meat,Refrigerated Truck,morning,2.89,32.82,69.39,3.24,573,1,3.24,0.9,0.75,0.4373,0,Medium
Fruits,Frozen Container,morning,4.58,30.99,77.83,3.74,105,1,3.76,0.4,0.95,0.2063,0,Low
Eggs,Normal Truck,morning,9.75,39.77,81.15,37.78,302,0,34.28,0.6,0.0,0.8637,1,High
Dairy,Refrigerated Truck,afternoon,23.28,32.34,79.63,2.22,715,1,1.78,0.7,0.75,0.592,1,Medium
Fish,Frozen Container,evening,27.07,22.68,69.27,-0.53,323,1,1.53,0.95,0.95,0.5641,1,Medium
Milk,Frozen Container,morning,7.1,33.23,86.24,-1.73,135,1,4.73,0.8,0.95,0.4724,0,Medium
Vegetables,Normal Truck,morning,11.6,30.8,59.53,29.26,282,0,23.26,0.5,0.0,0.7954,1,High
Eggs,Refrigerated Truck,afternoon,17.62,33.84,71.05,3.7,603,1,0.2,0.6,0.75,0.462,0,Medium
Dairy,Refrigerated Truck,night,17.98,20.34,94.26,7.6,790,1,3.6,0.7,0.75,0.5533,1,Medium
Dairy,Frozen Container,afternoon,9.98,22.68,89.32,-4.48,808,1,8.48,0.7,0.95,0.4232,0,Medium
Eggs,Normal Truck,night,29.92,28.45,71.68,27.03,124,0,23.53,0.6,0.0,1.0,1,High
Milk,Refrigerated Truck,night,22.24,27.31,79.52,5.43,764,1,2.43,0.8,0.75,0.6175,1,High
Fish,Normal Truck,night,7.74,29.52,79.1,28.04,773,0,27.04,0.95,0.0,0.8796,1,High
Eggs,Normal Truck,afternoon,23.5,20.36,67.84,19.34,560,0,15.84,0.6,0.0,0.9425,1,High
Vegetables,Normal Truck,evening,18.63,20.54,64.98,19.51,310,0,13.51,0.5,0.0,0.8682,1,High
Milk,Frozen Container,morning,2.08,21.15,66.02,-0.88,599,1,3.88,0.8,0.95,0.3581,0,Medium
Dairy,Frozen Container,morning,25.82,38.14,62.47,2.31,934,1,1.69,0.7,0.95,0.5521,1,Medium
Dairy,Normal Truck,night,25.18,26.26,83.97,24.94,340,0,20.94,0.7,0.0,1.0,1,High
Fruits,Normal Truck,morning,8.6,35.11,89.93,33.36,650,0,25.86,0.4,0.0,0.7887,1,High
Eggs,Refrigerated Truck,night,14.96,19.52,81.12,5.46,192,1,1.96,0.6,0.75,0.5044,1,Medium
Milk,Normal Truck,evening,12.75,23.15,89.86,22.0,996,0,19.0,0.8,0.0,0.8585,1,High
Fish,Frozen Container,evening,11.38,17.09,83.67,-0.05,718,1,1.05,0.95,0.95,0.5626,1,Medium
Dairy,Frozen Container,evening,24.08,17.28,57.14,2.44,460,1,1.56,0.7,0.95,0.5445,1,Medium
Meat,Normal Truck,evening,23.13,16.54,69.51,15.72,864,0,15.72,0.9,0.0,1.0,1,High
Vegetables,Normal Truck,night,18.91,22.53,69.69,21.41,206,0,15.41,0.5,0.0,0.8896,1,High
Meat,Frozen Container,evening,18.76,23.48,79.39,-1.54,332,1,1.54,0.9,0.95,0.5322,1,Medium
Fish,Refrigerated Truck,afternoon,11.59,24.14,63.3,7.68,395,1,6.68,0.95,0.75,0.5888,1,Medium
Dairy,Refrigerated Truck,morning,9.17,37.6,72.61,7.51,405,1,3.51,0.7,0.75,0.402,0,Medium
Fruits,Normal Truck,night,20.24,26.57,60.59,25.24,954,0,17.74,0.4,0.0,0.9269,1,High
Milk,Refrigerated Truck,evening,14.62,16.7,94.17,3.12,671,1,0.12,0.8,0.75,0.4925,0,Medium
Eggs,Normal Truck,morning,26.36,32.01,72.52,30.41,710,0,26.91,0.6,0.0,1.0,1,High
Meat,Normal Truck,morning,18.9,21.09,62.8,20.03,651,0,20.03,0.9,0.0,1.0,1,High
Fish,Refrigerated Truck,afternoon,15.04,30.98,90.52,3.35,689,1,2.35,0.95,0.75,0.5415,1,Medium
Milk,Frozen Container,night,13.73,28.72,59.93,-2.22,112,1,5.22,0.8,0.95,0.5073,1,Medium
Meat,Refrigerated Truck,morning,16.42,44.34,65.24,4.49,197,1,4.49,0.9,0.75,0.6904,1,High
Fruits,Refrigerated Truck,evening,13.95,27.0,59.22,3.14,719,1,4.36,0.4,0.75,0.4063,0,Medium
Fruits,Normal Truck,afternoon,25.42,33.86,56.17,32.17,420,0,24.67,0.4,0.0,0.9817,1,High
Vegetables,Normal Truck,afternoon,15.92,38.66,45.66,36.73,313,0,30.73,0.5,0.0,0.7551,1,High
Fruits,Frozen Container,evening,23.09,19.08,89.36,-0.91,211,1,8.41,0.4,0.95,0.5975,1,Medium
Milk,Normal Truck,evening,9.11,17.94,67.8,17.04,377,0,14.04,0.8,0.0,0.8791,1,High
Dairy,Normal Truck,evening,17.94,28.31,70.62,26.9,313,0,22.9,0.7,0.0,0.9579,1,High
Dairy,Refrigerated Truck,evening,28.95,29.17,47.76,3.76,959,1,0.24,0.7,0.75,0.5208,1,Medium
Meat,Frozen Container,afternoon,4.39,23.61,41.46,3.76,430,1,3.76,0.9,0.95,0.464,0,Medium
Milk,Frozen Container,morning,11.57,25.0,60.88,-4.66,520,1,7.66,0.8,0.95,0.5605,1,Medium
Vegetables,Normal Truck,morning,13.46,32.91,63.99,31.26,989,0,25.26,0.5,0.0,0.84,1,High
Dairy,Frozen Container,afternoon,15.19,22.92,66.66,-2.31,258,1,6.31,0.7,0.95,0.5291,1,Medium
Meat,Normal Truck,morning,9.22,21.76,85.92,20.67,53,0,20.67,0.9,0.0,0.9961,1,High
Dairy,Refrigerated Truck,night,5.3,23.65,55.07,4.43,66,1,0.43,0.7,0.75,0.3967,0,Medium
Dairy,Refrigerated Truck,night,7.78,15.16,47.53,3.6,874,1,0.4,0.7,0.75,0.3323,0,Medium
Fruits,Normal Truck,morning,6.91,42.69,63.03,40.55,525,0,33.05,0.4,0.0,0.7888,1,High
Dairy,Refrigerated Truck,afternoon,3.32,22.49,80.59,2.54,868,1,1.46,0.7,0.75,0.3593,0,Medium
Vegetables,Normal Truck,evening,10.32,23.5,66.18,22.32,672,0,16.32,0.5,0.0,0.826,1,High
